1_SO248_Alg	10_SO248_Alg	100_SO248_Alg	101_SO248_Alg	102_SO248_Alg	103_SO248_Alg	104_SO248_Alg	105_SO248_Alg	106_SO248_Alg	107_SO248_Alg	108_SO248_Alg	109_SO248_Alg	11_SO248_Alg	110_SO248_Alg	111_SO248_Alg	112_SO248_Alg	113_SO248_Alg	114_SO248_Alg	115_SO248_Alg	116_SO248_Alg	117_SO248_Alg	118_SO248_Alg	12_SO248_Alg	13_SO248_Alg	14_SO248_Alg	15_SO248_Alg	16_SO248_Alg	17_SO248_Alg	18_SO248_Alg	19_SO248_Alg	2_SO248_Alg	20_SO248_Alg	21_SO248_Alg	22_SO248_Alg	23_SO248_Alg	24_SO248_Alg	25_SO248_Alg	26_SO248_Alg	27_SO248_Alg	28_SO248_Alg	29_SO248_Alg	3_SO248_Alg	30_SO248_Alg	31_SO248_Alg	32_SO248_Alg	33_SO248_Alg	34_SO248_Alg	35_SO248_Alg	36_SO248_Alg	37_SO248_Alg	38_SO248_Alg	39_SO248_Alg	4_SO248_Alg	40_SO248_Alg	41_SO248_Alg	42_SO248_Alg	43_SO248_Alg	44_SO248_Alg	45_SO248_Alg	46_SO248_Alg	47_SO248_Alg	48_SO248_Alg	49_SO248_Alg	5_SO248_Alg	50_SO248_Alg	51_SO248_Alg	52_SO248_Alg	53_SO248_Alg	54_SO248_Alg	55_SO248_Alg	56_SO248_Alg	57_SO248_Alg	58_SO248_Alg	59_SO248_Alg	6_SO248_Alg	60_SO248_Alg	61_SO248_Alg	62_SO248_Alg	63_SO248_Alg	64_SO248_Alg	65_SO248_Alg	66_SO248_Alg	67_SO248_Alg	68_SO248_Alg	69_SO248_Alg	7_SO248_Alg	70_SO248_Alg	71_SO248_Alg	72_SO248_Alg	73_SO248_Alg	74_SO248_Alg	75_SO248_Alg	76_SO248_Alg	77_SO248_Alg	78_SO248_Alg	79_SO248_Alg	8_SO248_Alg	80_SO248_Alg	81_SO248_Alg	82_SO248_Alg	83_SO248_Alg	84_SO248_Alg	85_SO248_Alg	86_SO248_Alg	87_SO248_Alg	88_SO248_Alg	89_SO248_Alg	9_SO248_Alg	90_SO248_Alg	91_SO248_Alg	92_SO248_Alg	93_SO248_Alg	94_SO248_Alg	95_SO248_Alg	96_SO248_Alg	97_SO248_Alg	98_SO248_Alg	99_SO248_Alg	119_SO248_Alg	120_SO248_Alg	121_SO248_Alg	122_SO248_Alg	123_SO248_Alg	124_SO248_Alg	125_SO248_Alg	126_SO248_Alg	127_SO248_Alg	128_SO248_Alg	129_SO248_Alg	130_SO248_Alg	131_SO248_Alg	132_SO248_Alg	133_SO248_Alg	134_SO248_Alg	135_SO248_Alg	136_SO248_Alg
sq1727	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	4	5	2	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	14	9	0	10	1	9	14	2	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	7	12	3	0	8	0	9	0	10	1	0	11	1	12	0	0	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	0
sq1728	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	14	0	0	0	0	2	0	0	0	0	0	0	0	90	6	7	0	4	3	2	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	5	5	6	12	1	5	0	0	0
sq1729	0	0	0	0	0	0	0	1	0	0	0	5	28	0	0	0	0	0	0	0	0	0	6	0	5	16	7	0	6	19	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	6	3	0	2	0	10	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	8	2	0	0	0	3	2	0	0	0	0	0	0	23	2	3	0	0	0	0	0	0	7	5	2
sq1730	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	1	0	2	0	1	0	0	0	1	0	8	0	29	5	49	0	3	2	0	18	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	7	3	3	2	0	0	0	6	0	4	5	4	9	0	1
sq1731	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	9	3	3	0	2	2	0	0	0	1	0	3	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	0	2	3	0	2	0	0	26	0	1	2	2	4	1	0	1	2	1	0	0	4	0	0	1	0	0	0	0	3	3	2	9	0	0	12	1	1	7	2	6	12	18	5	1	1	1	0	1	1	0	0	1	0	1
sq1732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	2	4	0	0	1	2	1	3	1	0	0	0	6	4	4	5	15	0	5	6	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	0	2	12	10	0	0	0	8	17	8	12	20	14	0	0	0
sq1733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	43	56	0	0	0	1	0	0	9	9	8	0	0	0
sq1734	0	0	2	12	2	13	0	5	0	6	7	0	0	7	5	9	0	4	2	0	3	0	0	0	0	0	0	0	0	0	0	1	9	4	4	7	6	4	2	8	8	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	4	3	4	3	0	8	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1735	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	4	7	4	7	5	3	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	5	3	4	13	4	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	2	0	1	12	8	0	0	6	0	6	1	14	0	0	11	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1736	16	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	3	5	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	23	5	7	7	1	2	2	1	3	1	0	18	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	1	1	0	0	0	0	5	0	4	3	3	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	1	3	0	0	0	0	0	1	0	1	0	1	2	4	3	0	2	0	1	0	0	0	3	4	0
sq1737	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	9	35	3	14	8	5	2	2	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0	2	0	0	0	0	0	4	1	0	5	3	0	1	6	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	3	0	0	0	0	0	1	0	0	2	0	1	0	5	0	7	1	2	0	0	2	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	1	18	0
sq1738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	20	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	1	3	0	0	10	1	1	0	0	6	0	6	0	3	0	5	2	5	0	2	3	1	3	0	3	6	2	3	0	1	1	16	6	0	0	0	8	2	4	3	6	15	3	0	8
sq1739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	1	0	0	0	1	0	0	0	12	2	14	4	19	1	1	5	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	10	18	12	0	0	0	1	17	4	13	7	20	0	0	0
sq1740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	4	2	0	1	2	0	0	0	26	20	0	9	7	6	23	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	4	0	9	0	11	0	3	2	0	11	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1741	32	2	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6	2	12	3	3	2	0	0	12	0	0	0	0	0	0	0	1	0	0	16	0	0	5	0	0	0	0	0	0	0	12	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	9	0	1	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	2	0	1	0	1	5	3
sq1742	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	2	5	1	0	1	0	0	12	1	0	0	0	0	0	0	0	0	0	15	0	0	8	3	1	2	0	0	1	0	12	0	1	2	1	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	0	2	0	5	0	0	0	0	1	0	4	0	5	3	0	6	1	5	0	2	0	0	0	0	1	0	0	0	2	0	1	1	0	2	0	0	3	1	3	0	0	0	4	3	0	20	1	5	0	0	0	2	2	0
sq1743	11	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	6	2	42	1	1	2	1	0	7	0	0	0	0	0	0	0	0	0	0	12	0	0	20	3	2	2	0	0	0	0	17	0	0	19	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	1	6	0	0	6	0	0	0	1	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1744	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	18	4	9	18	1	6	5	1	8	0	1	0	2	0	1	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	3	0	0	0	8	3	3	4	0	5	3	6	1	2	0	0	0	0	4	2	7	7	0	7	2	3	2	0	0	0	2	0	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1745	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	3	17	3	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	15	2	5	14	2	7	5	0	11	0	0	11	2	0	3	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	3	0	6	0	4	0	0	3	0	0	0	4	0	4	0	0	3	0	0	0	2	0	0	4	2	4	0	6	0	5	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1746	3	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	2	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	0	0	15	21	13	9	8	5	5	5	4	2	1	1	1	0	4	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	5	0	6	0	9	3	0	0	0	0	0	1	0	4	0	5	2	0	1	0	0	0	0	0	2	0	2	1	0	0	0	1	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1747	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	4	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	8	0	8	3	10	22	1	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	3	0	22	3	13	0	6	7	0	16	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1748	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	1	11	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	18	4	0	6	4	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	5	2	0	0	0	0	0	0	0	0	0	0	5	0	1	3	5	12	1	9	0	9	0	1	7	0	7	0	2	0	0	0	0	0	0	14	17	5	0	0	0	0	0	0	2	4	6
sq1749	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	6	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	2	9	4	3	4	8	1	1	2	0	9	5	0	8	5	6	10	1	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	6	0	4	0	2	0	1	3	0	4	0	4	0	3	0	0	4	0	2	0	2	0	1	4	11	0	0	5	0	8	0	2	1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1750	0	0	5	0	1	0	7	2	0	24	10	26	0	2	23	14	12	27	4	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1751	0	0	0	4	0	12	0	14	0	3	2	8	0	4	0	5	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	1	7	11	7	9	9	7	7	5	10	0	14	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	3	1	6	0	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1752	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	8	1	7	7	9	0	7	1	6	2	0	6	5	11	19	7	0	3	10	1	0	0	0	1	0	0	2	0	2	1	2	0	3	0	1	0	3	2	0	4	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	3	0	1	3	6	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1753	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	2	17	3	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	6	3	3	1	0	2	0	1	1	1	1	22	14	0	10	4	2	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	5	0	1	1	0	1	1	10	0	0	0	2	0	0	1	0	0	0	2	0	3	3	3	0	0	1	0	2	0	0	0	0	1	0	0	0	0	2	1	0	0	5	18	1	0	0	0	0	0	0	0	1	0
sq1754	8	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	6	5	9	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	3	8	0	0	1	0	2	0	0	27	10	0	9	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	1	0	0	0	1	0	2	0	2	0	0	3	0	3	0	2	0	0	2	0	1	3	3	1	0	0	0	4	18	0	0	0	0	0	0	0	0	7	1
sq1755	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	6	4	8	6	2	16	1	0	2	13	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	1	0	4	0	7	15	3	2	0	0	0	0	1	5	0	3	2	3	5	7	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	4	3	0	0	5	0	0	0	8	2	11	1	2	1	0	0	0
sq1756	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	3	20	1	3	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	4	0	0	0	0	1	0	0	15	12	0	6	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	1	1	0	5	0	9	0	1	0	0	0	0	1	0	1	0	4	1	4	1	3	3	0	8	0	0	1	0	1	0	7	2	1	1	0	0	0	0	0	0	13	3	0	0	0	0	0	0	0	10	0
sq1757	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	0	0	3	3	10	2	3	2	1	3	15	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	1	4	0	1	1	10	0	0	0	0	0	2	1	0	7	0	6	8	1	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	4	5	0	1	2	0	0	0	15	1	20	0	1	1	0	0	0
sq1758	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	4	2	13	6	14	7	4	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	1	0	0	1	5	6	4	2	0	0	0	0	1	0	3	0	2	5	1	15	2	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	2	7	0	2	3	10	5	0	0	0	17	0	12	0	4	2	0	0	0
sq1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	6	0	0	0	1	0	2	1	6	4	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	0	8	22	35	0	0	0	2	8	1	12	29	20	0	0	0
sq1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	11	16	15	0	0	0	0	25	0	22	65	26	0	0	0
sq1761	0	0	8	4	1	6	1	10	0	12	7	4	0	6	8	10	5	21	4	5	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	6	4	2	6	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	6	2	3	2	7	0	7	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1762	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	1	8	3	2	3	1	1	0	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	3	2	2	17	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	14	5	4	0	7	0	8	4	17	3	0	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1763	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	3	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	2	1	0	0	1	1	5	0	5	0	0	0	11	3	6	2	18	1	9	9	2	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	1	2	8	3	0	0	0	2	17	4	14	5	6	0	0	0
sq1764	0	0	4	0	0	0	0	1	72	0	0	0	0	0	0	0	0	3	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1765	0	0	3	5	6	9	0	11	0	5	5	5	0	15	0	12	2	5	11	4	3	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	1	0	0	5	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	1	8	11	4	7	0	5	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1766	0	0	0	14	1	14	1	7	0	0	10	0	0	8	2	12	0	1	9	1	5	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	2	6	10	10	2	9	0	17	11	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1767	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	15	0	0	2	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	1	9	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1768	23	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	2	0	0	0	0	25	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	5	0	0	0	2	0	3	10	3	12	3	0	30	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1769	0	0	4	9	1	17	0	12	0	4	6	0	0	7	0	13	0	2	8	1	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	3	4	3	10	6	7	5	0	12	15	11	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1770	0	0	0	11	2	12	0	2	0	0	3	1	0	3	4	5	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	7	9	9	4	12	5	5	4	18	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	3	5	5	6	2	7	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq1771	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	10	0	0	0	1	2	0	0	0	0	0	7	0	27	3	19	1	3	1	1	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	7	0	1	2	1	3	0	2	3	9	2	3	5	6	18	0	15
